%time,field.header.seq,field.header.stamp,field.header.frame_id,field.objects0.name,field.objects0.position.x,field.objects0.position.y,field.objects0.position.z,field.objects0.velocity.x,field.objects0.velocity.y,field.objects0.velocity.z
1651825345429872866,67,0,,Object 1,1.51522449839,0.907670468676,0.0,0.724016732605,-0.7598329254,0.0
1651825345472833580,68,0,,Object 1,1.52526454739,0.878867336582,0.0,0.622833434114,-0.267883959102,0.0
1651825345576292729,69,0,,Object 1,1.5249205241,0.839600373308,0.0,0.459367881108,-0.768473787091,0.0
1651825345609103567,70,0,,Object 1,1.5285656707,0.799603498333,0.0,0.479812835294,-0.667627082757,0.0
1651825345641750558,71,0,,Object 1,1.53922808965,0.752819273577,0.0,0.68941336019,-0.869123022482,0.0
1651825345674246457,72,0,,Object 1,1.53596204496,0.685619141132,0.0,0.273653081571,-1.48207261259,0.0
1651825345709688217,73,0,,Object 1,1.55999106379,0.642470997514,0.0,1.09750482396,-0.763264798327,0.0
1651825345739636272,74,0,,Object 1,1.57021574156,0.60303973614,0.0,0.678028435446,-0.651462637939,0.0
1651825345776276332,75,0,,Object 1,1.55620353222,0.543192563571,0.0,-0.190511236512,-1.48500131651,0.0
1651825345816800874,76,0,,Object 1,1.55883228802,0.49661303782,0.0,0.138763606424,-1.22250682202,0.0
1651825345839324874,77,0,,Object 1,1.55952317072,0.474655157386,0.0,0.0826435392726,-0.500410941432,0.0
1651825345876852818,78,0,,Object 1,1.56109298175,0.451586253824,0.0,0.0959664640571,-0.755371848282,0.0
1651825345906548284,79,0,,Object 1,1.55419220843,0.409326929701,0.0,-0.158666280003,-1.33204651206,0.0
1651825345944112540,80,0,,Object 1,1.55475816505,0.372750664342,0.0,0.0664379036167,-1.16403756128,0.0
1651825345973806632,81,0,,Object 1,1.55964918896,0.35512241242,0.0,0.186229958031,-0.610366588155,0.0
1651825346008057348,82,0,,Object 1,1.55755051293,0.325286361747,0.0,-0.0203697151889,-0.971885579947,0.0
1651825346062820170,83,0,,Object 1,1.55377756731,0.294508968882,0.0,0.627990432241,-0.18188230817,0.0
1651825346094874384,84,0,,Object 1,1.56277647042,0.261388324439,0.0,0.49870542227,-0.734336085531,0.0
1651825346177691176,85,0,,Object 1,1.52900734742,0.201562697196,0.0,0.726251248557,-0.775142642652,0.0
1651825346208919883,86,0,,Object 1,1.53071908764,0.179099807644,0.0,0.776366959727,-0.1672923931,0.0
1651825346246051424,87,0,,Object 1,1.53879182526,0.146369705747,0.0,0.979562924081,-0.48028081262,0.0
1651825346275220652,88,0,,Object 1,1.53165835621,0.0994925609151,0.0,0.516034430888,-0.895800381222,0.0
